[DB] audit sqlite storage = ./database/dev.sqlite
[2026-01-11T21:55:54.313Z] [DEBUG] ✅ Loaded 4 email templates

METHODS   ACCESS         PATH
---------- -------------- ----
OPTIONS    authenticated  *
POST       authenticated  /api/admin/demo-data/load
GET        authenticated  /api/ai/exports/insights.csv
GET        authenticated  /api/ai/exports/insights.json
GET        authenticated  /api/ai/governance/governance
GET        authenticated  /api/ai/insights
POST       authenticated  /api/ai/insights/:id/decisions
POST       authenticated  /api/ai/insights/generate
GET        authenticated  /api/ai/read/assistant
POST       authenticated  /api/ai/read/assistant
GET        authenticated  /api/ai/read/assistant/context
POST       authenticated  /api/ai/read/assistant/stream
GET        authenticated  /api/ai/read/invoice-summary
GET        authenticated  /api/ai/read/monthly-overview
GET        authenticated  /api/ai/read/reconciliation-summary
GET        authenticated  /api/ai/read/session
GET        authenticated  /api/ai/suggest
POST       authenticated  /api/ai/voice/assistant
POST       authenticated  /api/auth/login
POST       authenticated  /api/auth/logout
GET        authenticated  /api/auth/me
POST       authenticated  /api/auth/refresh
POST       authenticated  /api/auth/register
GET        authenticated  /api/bank-statements/
GET        authenticated  /api/bank-statements/:id/audit-logs
GET        authenticated  /api/bank-statements/:id/transactions
POST       authenticated  /api/bank-statements/import
POST       authenticated  /api/bank-statements/import/confirm
POST       authenticated  /api/bank-statements/reconcile
PUT        authenticated  /api/bank-statements/transactions/:id/categorize
POST       authenticated  /api/bank-statements/transactions/:id/reconcile
POST       authenticated  /api/bank-statements/transactions/:id/reconcile/undo
GET        authenticated  /api/companies/
PUT        authenticated  /api/companies/:companyId
GET        authenticated  /api/compliance/deadlines
GET        authenticated  /api/compliance/gobd/export
GET        authenticated  /api/compliance/overview
GET        authenticated  /api/compliance/reports/:type
GET        authenticated  /api/compliance/test
POST       authenticated  /api/compliance/validate-transaction
GET        authenticated  /api/dashboard/stats
POST       authenticated  /api/elster/generate-xml
GET        authenticated  /api/elster/history
GET        authenticated  /api/elster/history
GET        public         /api/elster/status/:ticket
GET        public         /api/elster/status/:transferTicket
POST       authenticated  /api/elster/submit
POST       authenticated  /api/email-test/send-test
GET        authenticated  /api/email-test/test-config
POST       authenticated  /api/email-test/test-connection
POST       authenticated  /api/email-test/test-template/:type
GET        authenticated  /api/expenses/
POST       authenticated  /api/expenses/
GET        authenticated  /api/expenses/:expenseId
PATCH      public         /api/expenses/:expenseId/status
GET        authenticated  /api/exports/accounting-records
GET        authenticated  /api/exports/ai-decisions
GET        authenticated  /api/exports/audit-logs
GET        authenticated  /api/exports/datev
GET        authenticated  /api/exports/vat-summaries
POST       authenticated  /api/gdpr/anonymize-user
GET        authenticated  /api/gdpr/export-user-data
GET        authenticated  /api/german-tax-compliance/calendar/:year
GET        authenticated  /api/german-tax-compliance/compliance/check/:year
_ALL       authenticated  /api/german-tax-compliance/elster/*
GET        authenticated  /api/german-tax-compliance/elster/test
POST       authenticated  /api/german-tax-compliance/eur/generate
POST       authenticated  /api/german-tax-compliance/export/gobd
POST       authenticated  /api/german-tax-compliance/ustva/generate
POST       authenticated  /api/german-tax-compliance/ustva/submit
POST       authenticated  /api/german-tax-compliance/validate/integrity
POST       authenticated  /api/german-tax/elster-export
GET        authenticated  /api/german-tax/eur/:year
GET        authenticated  /api/german-tax/kleinunternehmer/:year
POST       authenticated  /api/german-tax/submit
POST       authenticated  /api/german-tax/validate-transaction
POST       authenticated  /api/german-tax/vat-return
_ALL       authenticated  /api/german-tax/vat/*
GET        public         /api/health
GET        authenticated  /api/invoices/
POST       authenticated  /api/invoices/
GET        authenticated  /api/invoices/:invoiceId
PUT        authenticated  /api/invoices/:invoiceId
GET        authenticated  /api/invoices/:invoiceId/audit-log
POST       authenticated  /api/invoices/:invoiceId/credit-note
POST       authenticated  /api/invoices/:invoiceId/payments
PATCH      public         /api/invoices/:invoiceId/status
POST       authenticated  /api/logs/
GET        authenticated  /api/metrics
GET        authenticated  /api/monitoring/logs
_ALL       authenticated  /api/ocr/preview
POST       authenticated  /api/ocr/process
POST       authenticated  /api/ocr/reprocess/:fileId
GET        authenticated  /api/ocr/results/:fileId
GET        authenticated  /api/ocr/search
GET        authenticated  /api/ocr/validate/:documentId
GET        authenticated  /api/public/plans
GET        authenticated  /api/ready
GET        authenticated  /api/stripe/billing-history
_ALL       authenticated  /api/stripe/billing/*
POST       authenticated  /api/stripe/cancel-subscription
POST       authenticated  /api/stripe/create-customer
POST       authenticated  /api/stripe/create-subscription
GET        public         /api/stripe/health
GET        authenticated  /api/stripe/plans
GET        authenticated  /api/stripe/subscription
GET        authenticated  /api/system/audit-logs
GET        authenticated  /api/system/backups
GET        authenticated  /api/system/companies
POST       authenticated  /api/system/companies
DELETE     authenticated  /api/system/companies/:companyId
PATCH      authenticated  /api/system/companies/:companyId/flags
PATCH      authenticated  /api/system/companies/:companyId/restore
PATCH      authenticated  /api/system/companies/:companyId/suspend
GET        authenticated  /api/system/config
GET        authenticated  /api/system/db-test
GET        authenticated  /api/system/feature-flags
GET        public         /api/system/health-detailed
GET        authenticated  /api/system/info
GET        authenticated  /api/system/maintenance
POST       authenticated  /api/system/maintenance
GET        authenticated  /api/system/monitoring
GET        authenticated  /api/system/overview
GET        authenticated  /api/system/plans
GET        authenticated  /api/system/stats
GET        authenticated  /api/system/subscriptions
GET        admin          /api/system/users
POST       admin          /api/system/users
PATCH      admin          /api/system/users/:userId
GET        authenticated  /api/system/version
GET        authenticated  /api/tax-reports/
POST       authenticated  /api/tax-reports/
DELETE     authenticated  /api/tax-reports/:id
GET        authenticated  /api/tax-reports/:id
PUT        authenticated  /api/tax-reports/:id
GET        authenticated  /api/tax-reports/:id/export/elster
POST       authenticated  /api/tax-reports/:id/submit
POST       authenticated  /api/tax-reports/generate
POST       authenticated  /api/telemetry/client-error
GET        admin          /api/users/
POST       admin          /api/users/
DELETE     admin          /api/users/:userId
PUT        admin          /api/users/:userId
GET        public         /health
GET        authenticated  /metrics
GET        authenticated  /ready

Total routes: 146
📄 Route audit written to /Users/nadeemnour/smartaccounting-final/route-audit.json
